NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_1;MES_2;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
>10;0;<24, 48];Febrero;845.57;842.01;16;PDP  Promesa De Pago;11482.9;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;0;7;PDP  Promesa De Pago;4879.99;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;1443.78;12;PDP  Promesa De Pago;45493.5;BT;2013;CEF;1
<=10;0;<=24;Febrero;605.73;1218.41;10;PAR  Promesa Parcial;10177.2;BT;2013;CEF;0
<=10;0;>48;Febrero;0;0;18;MCF  Msj Con Familiar;32661.3;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;9;MCO  Msj Con Conyuge;10143.5;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;777.4;0;7;PDP  Promesa De Pago;23721.2;BT;2013;CEF;1
<=10;0;>48;Febrero;0;0;14;CAN  Cliente Cancelo;22581.8;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;PDP  Promesa De Pago;16507.1;BT;2013;CEF;1
>10;0;<24, 48];Febrero;0;130.98;15;PDP  Promesa De Pago;1637.96;BT;2012;CEF;1
<=10;0;<=24;Febrero;0;0;12;PDP  Promesa De Pago;4218.25;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;329.63;164.38;16;MCO  Msj Con Conyuge;2891.52;BT;2012;CEF;0
<=10;0;>48;Febrero;506.6;0;7;MCO  Msj Con Conyuge;10440.7;BT;2012;CEF;1
>10;0;>48;Febrero;316.99;109.39;7;PDP  Promesa De Pago;18274.9;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;0;13;MCT  Msj Con Terceros;12707.2;BT;2011;CNE;0
<=10;0;<24, 48];Febrero;356.02;0;11;TAT  Tratamiento al Titu;9343.63;BT;2013;CEF;1
>10;0;>48;Febrero;786.27;592.5;17;TAT sin contacto con Titular;17007.6;BT;2012;CNE;1
<=10;0;<=24;Febrero;188.08;377.94;9;PDP  Promesa De Pago;2689.35;BT;2013;CEF;1
>10;0;<24, 48];Febrero;257.8;0;14;MCF  Msj Con Familiar;1191.74;BT;2011;CNE;1
>10;0;<24, 48];Febrero;2.12;186.62;13;PDP  Promesa De Pago;4601.97;BT;2012;CEF;1
>10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;8023.8;BT;2012;CNE;1
<=10;0;>48;Febrero;0;313.34;15;PDP  Promesa De Pago;8184.78;BT;2013;CEF;1
<=10;0;<=24;Febrero;740.86;0;19;TELF. NO CORRESPONDE;734.65;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;9;TAT  Tratamiento al Titu;14458.9;BT;2012;CEF;1
<=10;0;>48;Febrero;0;0;10;MCT  Msj Con Terceros;9920.25;BT;2013;CNE;0
>10;0;<24, 48];Febrero;0;0;13;PDP  Promesa De Pago;5718.96;BT;2011;CEF;1
<=10;0;>48;Febrero;0;0;18;PDP  Promesa De Pago;44066.8;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;11;TELF. NO CORRESPONDE;9145.02;BT;2013;CNE;0
<=10;0;>48;Febrero;321.69;221.48;14;TAT  Tratamiento al Titu;7562.75;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;8;MCO  Msj Con Conyuge;4815.32;BT;2013;CEF;0
>10;0;<24, 48];Febrero;300.59;300.83;9;PDP  Promesa De Pago;5388.72;BT;2011;CEF;1
<=10;0;>48;Febrero;0;0;12;MCT  Msj Con Terceros;12574.9;BT;2013;CNE;1
<=10;0;>48;Febrero;288.88;351.34;15;TAT  Tratamiento al Titu;7176.16;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;619.57;617.13;16;TAT  Tratamiento al Titu;8684.43;BT;2011;CEF;0
<=10;0;<24, 48];Febrero;0.31;190.31;11;MCT  Msj Con Terceros;3753.99;BT;2012;CNE;1
>10;0;<24, 48];Febrero;1432.02;0;8;MCT  Msj Con Terceros;10231.9;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;1321.46;0;12;PAR  Promesa Parcial;20149;BT;2012;CEF;0
<=10;0;<=24;Febrero;576.25;577.34;16;MCF  Msj Con Familiar;5409.32;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;3938.06;5260.39;14;RPP  Recordar Promesa;35720.3;BT;2013;CEF;0
<=10;0;<24, 48];Febrero;0;87.58;8;MCT  Msj Con Terceros;3956.03;BT;2012;CNE;1
>10;0;<24, 48];Febrero;1978.9;2263.14;11;TELF. NO CORRESPONDE;33222.4;BT;2011;CNE;1
>10;0;<24, 48];Febrero;1157.7;0;7;PDP  Promesa De Pago;28372.4;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;11;MCT  Msj Con Terceros;8899.63;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;332.57;3.83;18;IPT  Inbound PDP Total;6310.46;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;13;MCO  Msj Con Conyuge;67685.3;BT;2012;CEF;1
<=10;0;<=24;Febrero;261.51;0;17;MCT  Msj Con Terceros;555.67;BT;2013;CNE;0
<=10;0;<=24;Febrero;453.54;608.15;15;MCT  Msj Con Terceros;1350.95;BT;2012;CNE;0
>10;0;<24, 48];Febrero;289.93;289.13;15;PDP  Promesa De Pago;5435.37;BT;2012;CEF;1
<=10;0;>48;Febrero;0;0;8;MCT  Msj Con Terceros;71472.4;BT;2012;CNE;1
<=10;0;>48;Febrero;0;0;14;MCE  Msj Con Empleada;69867.7;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;11;PDP  Promesa De Pago;1951.22;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;87.23;0;15;MCF  Msj Con Familiar;3581.74;BT;2013;CNE;1
>10;0;<24, 48];Febrero;153.74;153.53;15;MCO  Msj Con Conyuge;3381.32;BT;2012;CEF;1
<=10;0;<=24;Febrero;0;0;13;IPT  Inbound PDP Total;5015.85;BT;2013;CEF;1
>10;0;<24, 48];Febrero;239.91;0;9;PDP  Promesa De Pago;2652.41;BT;2012;CEF;1
<=10;1;<24, 48];Febrero;0;0;13;RPP  Recordar Promesa;21615.2;BT;2013;CEF;0
>10;0;<24, 48];Febrero;156.69;155.67;11;PAR  Promesa Parcial;1338.89;BT;2011;CEF;1
<=10;0;<=24;Febrero;266.46;266.55;11;MCT  Msj Con Terceros;1268.52;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;1701.98;0;19;IPP  Inbound Promesa Par;14819.4;BT;2013;CEF;0
<=10;1;<24, 48];Febrero;0;0;7;PDP  Promesa De Pago;10575.4;BT;2013;CEF;0
<=10;0;<24, 48];Febrero;960.47;962.83;7;MCF  Msj Con Familiar;19866.1;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;11;TELF. NO CORRESPONDE;8572.74;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;911.18;0;7;PAR  Promesa Parcial;28357.1;BT;2013;CEF;1
>10;1;<24, 48];Febrero;0;0;10;MCT  Msj Con Terceros;17017.9;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0;0;8;TELF. NO CORRESPONDE;13216.3;BT;2013;CNE;1
>10;0;<24, 48];Febrero;568.07;1171.46;13;MCF  Msj Con Familiar;4472.66;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;561.78;562.02;11;MCF  Msj Con Familiar;10527.3;BT;2013;CNE;1
>10;0;>48;Febrero;508.4;0;14;TELF. NO CORRESPONDE;7013.97;BT;2011;CNE;1
>10;0;<24, 48];Febrero;204.33;0;17;MCT  Msj Con Terceros;4683.74;BT;2012;CNE;1
<=10;0;>48;Febrero;0;145.22;15;PDP  Promesa De Pago;14710.2;BT;2011;CEF;1
>10;0;>48;Febrero;0;0;8;TAT  Tratamiento al Titu;45789.5;BT;2011;CEF;1
>10;0;<24, 48];Febrero;24.35;232.7;8;PDP  Promesa De Pago;9815.12;BT;2011;CEF;1
>10;0;<24, 48];Febrero;173.22;176.96;9;PDP  Promesa De Pago;6770.65;BT;2011;CEF;1
>10;0;>48;Febrero;437.38;875.81;13;PDP  Promesa De Pago;5602.74;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;545.96;18;CAN  Cliente Cancelo;13628.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;9;MCF  Msj Con Familiar;18745.5;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;808.08;0;13;MCT  Msj Con Terceros;21670.3;BT;2012;CNE;1
<=10;0;>48;Febrero;59.48;188.93;9;TELF. NO CORRESPONDE;8151.22;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;319.05;12;PDP  Promesa De Pago;1265.01;BT;2010;CEF;1
>10;0;<24, 48];Febrero;0.83;0;8;PDP  Promesa De Pago;49776.3;BT;2012;CEF;1
>10;0;>48;Febrero;0;0;10;TELF. NO CORRESPONDE;24549.5;BT;2012;CNE;0
>10;0;<24, 48];Febrero;547.9;0;8;MCT  Msj Con Terceros;13721.6;BT;2011;CNE;1
<=10;0;>48;Febrero;0;0;10;MCE  Msj Con Empleada;33717.1;BT;2010;CNE;1
>10;0;<24, 48];Febrero;607.81;306.94;11;MCO  Msj Con Conyuge;1494.54;BT;2011;CEF;1
>10;0;>48;Febrero;0;0;16;MCF  Msj Con Familiar;16219.5;BT;2011;CNE;1
>10;0;<24, 48];Febrero;848.46;1693.96;12;MCT  Msj Con Terceros;41868.7;BT;2012;CNE;1
<=10;0;>48;Febrero;1.52;830.37;8;MCO  Msj Con Conyuge;24563.8;BT;2013;CEF;1
>10;0;<24, 48];Febrero;0;0;13;PDP  Promesa De Pago;2368.32;BT;2011;CEF;1
>10;0;<24, 48];Febrero;0;0;11;PDP  Promesa De Pago;1053.34;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;207.4;208.85;11;MCT  Msj Con Terceros;16959.1;BT;2013;CNE;1
>10;0;>48;Febrero;179.19;13.67;10;PDP  Promesa De Pago;4384.85;BT;2012;CEF;1
>10;0;<24, 48];Febrero;1418.21;0;13;PDP  Promesa De Pago;31804;BT;2012;CEF;1
<=10;0;>48;Febrero;0;0;12;PDP  Promesa De Pago;30087.9;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;15;TAT  Tratamiento al Titu;10845.2;BT;2012;CEF;1
>10;0;<24, 48];Febrero;479.84;965.2;7;PDP  Promesa De Pago;3756.57;BT;2011;CEF;1
<=10;0;>48;Febrero;1491.15;1509.31;12;MCT  Msj Con Terceros;46894.9;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;804.17;404.82;19;MCO  Msj Con Conyuge;3298.32;BT;2011;CEF;0
<=10;0;<24, 48];Febrero;48.54;0;7;RPP  Recordar Promesa;5365.6;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;4847.26;BT;2013;CNE;1
>10;0;<24, 48];Febrero;418.11;415.89;12;MCT  Msj Con Terceros;2823.36;BT;2011;CNE;1
<=10;0;>48;Febrero;1453.47;2191.52;12;TELF. NO CORRESPONDE;19786.5;BT;2012;CNE;1
<=10;0;>48;Febrero;245.76;319.48;9;MCT  Msj Con Terceros;10106.8;BT;2013;CNE;1
>10;0;<24, 48];Febrero;39.02;175.34;14;TELF. NO CORRESPONDE;2073.56;BT;2012;CNE;1
<=10;0;>48;Febrero;0;0;15;PDP  Promesa De Pago;34013.9;BT;2013;CEF;1
>10;0;<24, 48];Febrero;0;0;7;MCT  Msj Con Terceros;7883.01;BT;2012;CNE;0
>10;0;<24, 48];Febrero;100.94;0.12;7;PDP  Promesa De Pago;1382.05;BT;2011;CEF;1
>10;1;>48;Febrero;0;0;15;RPP  Recordar Promesa;4162.02;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;915.38;915.38;15;MCF  Msj Con Familiar;6006.18;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;648.13;20;TAT  Tratamiento al Titu;18500.5;BT;2013;CEF;1
<=10;0;>48;Febrero;0;0;7;MCO  Msj Con Conyuge;34399.2;BT;2013;CEF;1
<=10;0;>48;Febrero;479.95;479.95;8;MCV  Msj Con Vecino;75634.7;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;211.97;12;MCO  Msj Con Conyuge;2916.74;BT;2013;CEF;1
<=10;0;>48;Febrero;260.15;260.34;8;TAT  Tratamiento al Titu;5763.22;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;12;PDP  Promesa De Pago;18446.4;BT;2013;CEF;1
>10;0;<24, 48];Febrero;222.6;38.62;12;MCT  Msj Con Terceros;1220.26;BT;2011;CNE;1
>10;0;<24, 48];Febrero;424.47;424.44;17;MCC  Msj Con Comp De Trab;10245.9;BT;2012;CNE;1
<=10;0;<=24;Febrero;0;0;11;MCF  Msj Con Familiar;1743.65;BT;2013;CNE;1
>10;0;>48;Febrero;0;0;18;TAT  Tratamiento al Titu;2836.26;BT;2011;CEF;1
>10;0;<24, 48];Febrero;0;0;12;MCT  Msj Con Terceros;7452.32;BT;2012;CNE;0
>10;1;<24, 48];Febrero;639.86;645.23;19;MCF  Msj Con Familiar;5613.95;BT;2013;CNE;1
>10;0;>48;Febrero;326.34;376.9;15;PDP  Promesa De Pago;793.19;BT;2010;CEF;1
<=10;0;<24, 48];Febrero;1242.92;1242.92;14;MCT  Msj Con Terceros;22110.5;BT;2012;CNE;1
>10;0;<24, 48];Febrero;0;0;8;MCC  Msj Con Comp De Trab;7348.21;BT;2011;CNE;0
<=10;0;<24, 48];Febrero;624.75;835.69;12;MCT  Msj Con Terceros;3646.5;BT;2012;CNE;0
<=10;0;<=24;Febrero;0;0;18;PDP  Promesa De Pago;975.59;BT;2014;CEF;1
<=10;0;<=24;Febrero;0;0;9;PDP  Promesa De Pago;1844.68;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;136.36;14;MCF  Msj Con Familiar;3461.2;BT;2013;CNE;1
<=10;0;<=24;Febrero;798.73;0;16;MCO  Msj Con Conyuge;2982.54;BT;2013;CEF;0
<=10;0;<24, 48];Febrero;0;0;8;PDP  Promesa De Pago;12406.2;BT;2012;CEF;1
>10;0;<24, 48];Febrero;361.05;0;16;TELF. NO CORRESPONDE;2632.92;BT;2011;CNE;1
>10;1;>48;Febrero;0;0;7;CIH  Generar Cita;19667.6;BT;2012;CNE;0
>10;0;<24, 48];Febrero;949.46;951.11;15;TELF. NO CORRESPONDE;9735.06;BT;2011;CNE;1
>10;0;<24, 48];Febrero;169.77;140.77;11;MCF  Msj Con Familiar;2015.24;BT;2011;CNE;1
>10;0;>48;Febrero;365.39;0;7;MCF  Msj Con Familiar;6167.04;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;0;11;MCT  Msj Con Terceros;12072.6;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;738.27;693.3;16;MCT  Msj Con Terceros;6950.82;BT;2011;CNE;1
<=10;0;>48;Febrero;0;0;7;MCT  Msj Con Terceros;41434.3;BT;2013;CNE;0
<=10;0;>48;Febrero;0;0;9;PDP  Promesa De Pago;25173.7;BT;2013;CEF;1
>10;0;<24, 48];Febrero;2619.83;0;14;MCT  Msj Con Terceros;64117.8;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;76.41;217.48;11;MCT  Msj Con Terceros;4046.54;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;PDP  Promesa De Pago;5259.07;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;113.84;16.49;17;TAT  Tratamiento al Titu;43530.7;BT;2013;CEF;1
<=10;1;>48;Febrero;0;0;16;TAT  Tratamiento al Titu;58166.8;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;220.38;0;8;PAR  Promesa Parcial;3852.23;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;10;PDP  Promesa De Pago;6817.22;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;0;10;MCF  Msj Con Familiar;6693.98;BT;2012;CNE;0
<=10;0;<=24;Febrero;0;0;7;PDP  Promesa De Pago;1474.97;BT;2012;CEF;1
>10;0;>48;Febrero;0;347.68;15;CAN  Cliente Cancelo;5837.84;BT;2011;CNE;1
<=10;0;<=24;Febrero;482.19;34.81;13;MCT  Msj Con Terceros;8489.96;BT;2013;CNE;0
