edad;trabajo;est.civ;educacion;mora;balance;vivienda;prestamo;contacto;dia;mes;duracion;campana;pdias;previo;presultado;suscrito
33;Ejecutivo;Casado;secundaria;no;3935;si;no;celular;6;Mayo;765;1;342;2;fracaso;si
23;Servis;Soltero;Superior;no;363;si;no;desconocido;30;Mayo;16;18;-1;0;desconocido;no
38;Ejecutivo;Soltero;Superior;no;11971;si;no;desconocido;17;Noviembre;609;2;101;3;fracaso;no
36;Ejecutivo;Soltero;Superior;no;553;no;no;celular;11;Agosto;106;2;-1;0;desconocido;no
52;Obrero;Casado;secundaria;no;1117;si;no;celular;13;Mayo;365;1;-1;0;desconocido;no
32;Tecnico;Casado;Superior;no;396;si;no;celular;13;Mayo;205;3;-1;0;desconocido;no
32;Tecnico;Soltero;Superior;no;2204;si;no;celular;21;Noviembre;11;4;-1;0;desconocido;no
34;Ejecutivo;Soltero;Superior;no;872;si;no;desconocido;7;Mayo;105;2;-1;0;desconocido;no
55;Obrero;Casado;primaria;no;145;no;no;teléfono;2;Febrero;59;3;5;2;otro;no
26;Obrero;Casado;primaria;no;0;si;no;desconocido;21;Mayo;425;1;-1;0;desconocido;no
32;empresario;Soltero;primaria;si;-849;si;si;celular;4;Febrero;204;1;-1;0;desconocido;no
61;admin.;Casado;desconocido;no;4629;si;no;celular;27;Enero;181;1;92;1;éxito;si
45;Obrero;Divorciado;primaria;no;844;no;no;desconocido;5;Junio;1018;3;-1;0;desconocido;si
37;Tecnico;Soltero;secundaria;no;228;si;no;celular;20;Agosto;1740;2;-1;0;desconocido;no
38;Tecnico;Soltero;secundaria;no;50;no;no;celular;29;Agosto;98;2;-1;0;desconocido;no
34;Tecnico;Casado;Superior;no;1539;si;no;celular;15;Junio;441;1;56;1;otro;si
53;Obrero;Casado;secundaria;no;2231;si;no;celular;14;Julio;272;3;-1;0;desconocido;no
48;admin.;Casado;secundaria;no;3064;si;no;teléfono;15;Julio;159;2;-1;0;desconocido;no
57;Ejecutivo;Casado;secundaria;no;82;no;si;teléfono;4;Febrero;140;1;-1;0;desconocido;no
33;Independientes;Soltero;Superior;no;2155;no;no;celular;17;Noviembre;295;1;-1;0;desconocido;no
36;Retirado;Soltero;secundaria;no;101;si;si;desconocido;26;Mayo;314;1;-1;0;desconocido;no
54;Tecnico;Divorciado;secundaria;no;784;si;si;desconocido;15;Mayo;579;1;-1;0;desconocido;no
41;Obrero;Casado;primaria;no;-516;no;si;teléfono;8;Julio;554;3;-1;0;desconocido;no
63;Retirado;Casado;secundaria;no;415;si;no;celular;7;Octubre;323;1;-1;0;desconocido;no
48;Ejecutivo;Casado;Superior;no;5887;no;no;celular;13;Agosto;227;2;-1;0;desconocido;no
48;Servis;Casado;secundaria;no;1355;no;no;celular;4;Julio;134;2;-1;0;desconocido;no
56;admin.;Casado;secundaria;no;16873;no;no;celular;7;Octubre;223;1;-1;0;desconocido;no
51;Obrero;Divorciado;secundaria;no;203;si;no;celular;8;Mayo;134;1;170;5;fracaso;no
31;Servis;Casado;secundaria;no;338;si;no;celular;28;Enero;155;1;-1;0;desconocido;no
29;Tecnico;Casado;secundaria;no;444;si;no;celular;21;Julio;130;4;-1;0;desconocido;no
41;Ejecutivo;Casado;secundaria;no;0;no;si;celular;7;Julio;630;3;-1;0;desconocido;no
32;Tecnico;Soltero;Superior;no;360;no;no;celular;19;Noviembre;164;2;-1;0;desconocido;no
37;Ejecutivo;Casado;Superior;no;0;no;no;celular;16;Julio;268;2;182;3;éxito;si
42;empresario;Divorciado;Superior;si;2;si;no;desconocido;5;Mayo;380;1;-1;0;desconocido;no
31;Ejecutivo;Soltero;Superior;no;6248;si;no;desconocido;9;Mayo;154;2;-1;0;desconocido;no
41;Servis;Casado;Superior;no;412;si;no;desconocido;3;Junio;154;5;-1;0;desconocido;no
56;Retirado;Casado;secundaria;no;344;si;no;desconocido;15;Mayo;221;1;-1;0;desconocido;no
54;Ejecutivo;Divorciado;Superior;no;3222;no;no;celular;14;Agosto;67;2;-1;0;desconocido;no
41;Obrero;Divorciado;secundaria;no;174;si;no;celular;14;Mayo;367;2;297;1;otro;no
40;Tecnico;Soltero;secundaria;no;591;no;si;celular;14;Agosto;87;6;-1;0;desconocido;no
50;Obrero;Divorciado;primaria;no;388;no;no;celular;5;Febrero;701;1;-1;0;desconocido;no
40;Desempleado;Casado;secundaria;no;219;si;no;celular;17;Noviembre;204;2;196;1;fracaso;no
27;admin.;Divorciado;secundaria;no;451;si;no;celular;16;Julio;652;1;-1;0;desconocido;si
60;Retirado;Casado;primaria;no;5;no;no;celular;26;Agosto;63;2;-1;0;desconocido;no
28;admin.;Soltero;secundaria;no;177;si;si;celular;6;Mayo;150;1;-1;0;desconocido;no
52;Servis;Casado;secundaria;no;657;no;no;teléfono;7;Julio;398;2;460;2;fracaso;si
37;Ejecutivo;Casado;Superior;no;1315;no;no;celular;30;Junio;224;1;-1;0;desconocido;si
51;Obrero;Casado;primaria;no;1466;si;no;desconocido;7;Mayo;406;2;-1;0;desconocido;no
41;Tecnico;Soltero;secundaria;no;879;no;si;celular;7;Julio;60;4;-1;0;desconocido;no
35;Obrero;Soltero;primaria;no;293;si;no;desconocido;30;Mayo;521;2;-1;0;desconocido;no
38;admin.;Casado;secundaria;no;424;si;no;celular;17;abril;279;1;-1;0;desconocido;no
34;Obrero;Casado;secundaria;no;1831;si;no;desconocido;20;Mayo;203;2;-1;0;desconocido;no
39;Obrero;Casado;primaria;no;111;no;no;celular;18;Noviembre;201;2;-1;0;desconocido;no
34;Obrero;Casado;primaria;no;455;si;no;desconocido;20;Junio;372;3;-1;0;desconocido;no
27;Servis;Soltero;secundaria;no;-195;si;no;celular;18;Mayo;391;1;-1;0;desconocido;si
32;Ejecutivo;Soltero;Superior;no;3616;no;no;celular;14;Agosto;165;2;-1;0;desconocido;no
57;Obrero;Casado;secundaria;no;14093;no;no;celular;11;Agosto;231;5;-1;0;desconocido;no
41;desconocido;Soltero;Superior;no;1567;no;no;celular;1;Julio;291;2;-1;0;desconocido;no
41;admin.;Casado;Superior;no;5426;si;no;desconocido;14;Mayo;149;2;-1;0;desconocido;no
30;admin.;Soltero;Superior;no;261;no;no;celular;19;Octubre;233;1;137;20;fracaso;no
36;Obrero;Divorciado;secundaria;no;2843;no;no;celular;12;Febrero;473;1;182;1;éxito;no
31;Desempleado;Soltero;primaria;no;406;no;no;celular;4;Febrero;736;1;-1;0;desconocido;si
36;Obrero;Casado;secundaria;no;0;si;no;desconocido;6;Mayo;337;1;-1;0;desconocido;no
38;Ejecutivo;Soltero;Superior;no;493;si;no;celular;11;Mayo;553;1;367;7;fracaso;no
49;Tecnico;Casado;secundaria;no;5996;no;no;teléfono;21;Noviembre;345;2;-1;0;desconocido;no
57;Servis;Soltero;primaria;no;3777;si;no;teléfono;13;Mayo;65;2;-1;0;desconocido;no
34;Ejecutivo;Soltero;secundaria;no;524;no;no;desconocido;13;Agosto;9;1;-1;0;desconocido;no
32;Ejecutivo;Soltero;Superior;no;574;si;no;celular;14;abril;259;2;145;3;fracaso;no
37;Obrero;Casado;secundaria;no;427;si;si;desconocido;9;Junio;371;3;-1;0;desconocido;no
33;Independientes;Casado;Superior;no;483;si;no;celular;3;Febrero;280;2;-1;0;desconocido;no
56;Desempleado;Casado;primaria;no;3391;no;no;celular;21;abril;243;1;-1;0;desconocido;si
27;Emple_hogar;Casado;primaria;no;0;si;no;celular;23;Julio;435;3;-1;0;desconocido;no
21;Estudiante;Soltero;secundaria;no;2488;no;no;celular;30;Junio;258;6;169;3;éxito;si
58;Ejecutivo;Casado;Superior;no;1517;si;no;teléfono;29;Julio;7;5;-1;0;desconocido;no
32;Independientes;Casado;secundaria;no;217;si;si;celular;15;Julio;317;5;-1;0;desconocido;no
33;Obrero;Soltero;secundaria;no;22;no;no;celular;30;Enero;76;2;207;1;fracaso;no
25;Estudiante;Soltero;secundaria;no;331;no;no;teléfono;26;Agosto;170;4;-1;0;desconocido;si
25;Tecnico;Soltero;secundaria;no;505;no;si;celular;17;Noviembre;386;2;-1;0;desconocido;si
30;Servis;Casado;secundaria;no;1808;si;no;celular;18;Mayo;83;2;-1;0;desconocido;no
22;admin.;Soltero;secundaria;no;4111;no;si;celular;19;Agosto;65;1;-1;0;desconocido;no
39;Obrero;Casado;primaria;no;52;no;no;celular;13;Agosto;69;1;-1;0;desconocido;no
46;Ejecutivo;Divorciado;Superior;no;25;no;no;desconocido;17;Junio;564;2;-1;0;desconocido;no
31;admin.;Divorciado;secundaria;no;1890;si;no;celular;21;Julio;588;1;-1;0;desconocido;no
45;Obrero;Casado;primaria;no;419;no;no;celular;18;Agosto;113;4;-1;0;desconocido;no
32;Tecnico;Casado;secundaria;no;2693;si;no;desconocido;21;Mayo;16;1;-1;0;desconocido;no
36;Obrero;Casado;secundaria;no;-231;no;si;celular;15;Julio;779;2;-1;0;desconocido;no
51;Ejecutivo;Soltero;Superior;si;-55;si;no;celular;11;Mayo;281;2;266;6;fracaso;no
34;Independientes;Soltero;Superior;no;462;no;no;celular;21;Agosto;1877;3;-1;0;desconocido;si
24;Desempleado;Soltero;secundaria;no;119;no;no;desconocido;15;Setiembre;51;1;-1;0;desconocido;no
45;Tecnico;Soltero;secundaria;no;586;no;si;celular;28;Julio;32;3;-1;0;desconocido;no
32;Obrero;Soltero;secundaria;no;228;no;no;teléfono;5;Febrero;176;1;288;3;fracaso;no
77;Retirado;Divorciado;Superior;no;4659;no;no;celular;14;abril;161;1;-1;0;desconocido;si
41;Obrero;Casado;primaria;no;168;si;no;celular;18;Noviembre;187;3;-1;0;desconocido;no
37;Obrero;Casado;primaria;no;0;si;no;desconocido;26;Mayo;24;1;-1;0;desconocido;no
43;Obrero;Casado;desconocido;si;-715;si;no;desconocido;30;Mayo;67;3;-1;0;desconocido;no
48;admin.;Casado;desconocido;no;0;si;no;celular;8;Mayo;85;1;168;2;fracaso;no
27;Tecnico;Soltero;secundaria;no;769;si;no;desconocido;9;Mayo;317;2;-1;0;desconocido;no
33;Ejecutivo;Soltero;Superior;no;0;no;no;celular;28;Agosto;236;10;-1;0;desconocido;no
29;admin.;Soltero;secundaria;no;428;si;si;celular;7;Mayo;54;1;345;2;fracaso;no
34;Ejecutivo;Soltero;Superior;no;0;no;no;celular;5;Febrero;71;1;-1;0;desconocido;no
52;Ejecutivo;Casado;Superior;no;-970;si;no;celular;4;Febrero;489;1;-1;0;desconocido;si
60;Ejecutivo;Casado;desconocido;no;6313;no;no;desconocido;19;Junio;39;2;-1;0;desconocido;no
32;Ejecutivo;Divorciado;Superior;no;948;no;no;celular;12;Agosto;204;2;-1;0;desconocido;no
32;Ejecutivo;Soltero;Superior;no;0;si;no;celular;22;Julio;455;2;-1;0;desconocido;no
56;Servis;Divorciado;desconocido;no;1877;si;no;desconocido;30;Mayo;86;1;-1;0;desconocido;no
31;Ejecutivo;Soltero;Superior;no;874;si;no;celular;18;Noviembre;190;2;-1;0;desconocido;no
42;admin.;Casado;secundaria;no;323;si;si;desconocido;8;Mayo;280;2;-1;0;desconocido;no
35;Ejecutivo;Casado;Superior;no;106;no;si;celular;11;Agosto;588;2;-1;0;desconocido;no
56;Retirado;Casado;primaria;no;1906;no;si;desconocido;19;Junio;45;9;-1;0;desconocido;no
48;Tecnico;Casado;secundaria;no;1152;si;no;celular;21;Julio;168;5;-1;0;desconocido;no
46;admin.;Casado;secundaria;no;179;si;no;celular;29;Enero;194;4;436;1;otro;no
37;Tecnico;Soltero;desconocido;no;391;si;no;desconocido;8;Mayo;103;3;-1;0;desconocido;no
41;empresario;Casado;desconocido;no;89;si;no;desconocido;6;Mayo;333;2;-1;0;desconocido;no
36;Ejecutivo;Soltero;Superior;no;442;si;si;celular;29;Julio;102;3;-1;0;desconocido;no
45;Desempleado;Divorciado;primaria;si;-249;si;si;desconocido;1;Julio;92;1;-1;0;desconocido;no
55;empresario;Casado;secundaria;no;8104;no;no;celular;6;Febrero;213;2;-1;0;desconocido;no
39;Tecnico;Casado;secundaria;no;501;no;no;desconocido;26;Mayo;289;1;-1;0;desconocido;no
35;Tecnico;Divorciado;secundaria;no;308;no;no;celular;22;Agosto;77;2;-1;0;desconocido;no
55;admin.;Casado;secundaria;no;602;no;no;celular;1;Junio;324;3;90;2;éxito;si
55;Tecnico;Casado;secundaria;no;273;si;no;celular;29;Enero;84;3;183;3;fracaso;no
27;Independientes;Soltero;secundaria;no;50;no;no;celular;29;Enero;168;1;-1;0;desconocido;no
34;Tecnico;Casado;secundaria;no;1641;si;no;celular;17;abril;380;1;-1;0;desconocido;no
34;Obrero;Casado;Superior;no;20;no;no;desconocido;4;Octubre;10;1;-1;0;desconocido;no
25;admin.;Soltero;secundaria;no;4590;si;no;desconocido;28;Mayo;199;2;-1;0;desconocido;no
41;admin.;Soltero;secundaria;no;-256;no;si;desconocido;9;Mayo;35;3;-1;0;desconocido;no
43;Servis;Casado;secundaria;no;978;si;si;desconocido;26;Mayo;82;2;-1;0;desconocido;no
28;Ejecutivo;Soltero;Superior;no;80;no;no;celular;20;Octubre;676;2;146;2;fracaso;si
31;admin.;Soltero;secundaria;no;2104;si;no;desconocido;3;Junio;455;1;-1;0;desconocido;no
78;Emple_hogar;Casado;secundaria;no;499;no;no;teléfono;16;Marzo;80;4;-1;0;desconocido;no
45;Obrero;Divorciado;secundaria;no;1269;si;no;celular;29;Enero;549;2;-1;0;desconocido;no
48;Tecnico;Casado;Superior;no;310;no;no;desconocido;6;Mayo;135;1;-1;0;desconocido;no
32;Obrero;Soltero;secundaria;no;1143;si;si;celular;10;Julio;412;1;-1;0;desconocido;no
42;Tecnico;Casado;secundaria;no;2980;no;no;desconocido;20;Junio;101;3;-1;0;desconocido;no
37;Ejecutivo;Soltero;Superior;no;37;no;no;celular;28;Enero;253;2;-1;0;desconocido;no
40;admin.;Soltero;secundaria;no;462;si;si;celular;6;abril;272;1;335;4;otro;no
32;admin.;Casado;secundaria;no;1031;si;no;celular;17;Julio;84;1;-1;0;desconocido;no
42;Ejecutivo;Casado;Superior;no;9009;no;no;celular;20;Noviembre;135;2;-1;0;desconocido;no
43;admin.;Casado;secundaria;no;-465;si;si;celular;23;Julio;166;1;-1;0;desconocido;no
44;admin.;Casado;secundaria;no;5181;si;si;celular;31;Julio;18;7;-1;0;desconocido;no
37;admin.;Casado;secundaria;no;176;si;no;celular;5;Mayo;147;2;347;1;fracaso;no
37;desconocido;Casado;desconocido;no;1699;no;no;desconocido;9;Junio;63;1;-1;0;desconocido;no
37;admin.;Casado;Superior;no;0;si;no;celular;17;Noviembre;65;2;119;1;fracaso;no
28;Tecnico;Soltero;Superior;no;172;si;si;celular;2;Febrero;194;2;-1;0;desconocido;no
32;Servis;Soltero;secundaria;no;0;no;si;celular;11;Julio;333;2;-1;0;desconocido;no
34;admin.;Soltero;secundaria;no;6979;si;no;celular;15;Mayo;14;5;-1;0;desconocido;no
40;admin.;Divorciado;secundaria;no;6;no;no;desconocido;11;Junio;140;1;-1;0;desconocido;no
34;Servis;Casado;secundaria;no;-62;si;no;desconocido;16;Junio;109;3;-1;0;desconocido;no
34;Independientes;Casado;Superior;no;1972;si;no;celular;23;Julio;61;2;-1;0;desconocido;no
34;admin.;Casado;Superior;no;899;si;no;teléfono;19;Noviembre;377;3;7;4;éxito;no
37;Servis;Soltero;secundaria;no;21;si;no;celular;2;Febrero;96;1;271;2;otro;no
36;Tecnico;Casado;secundaria;no;23;si;no;celular;8;Mayo;152;2;347;1;fracaso;no
56;Retirado;Casado;secundaria;no;-1206;si;no;celular;15;Junio;382;2;-1;0;desconocido;si
49;Obrero;Casado;primaria;no;0;si;si;teléfono;23;Julio;97;6;-1;0;desconocido;no
33;Independientes;Casado;secundaria;no;215;si;no;celular;29;Julio;543;12;-1;0;desconocido;no
30;Ejecutivo;Soltero;Superior;no;1372;no;no;celular;20;Noviembre;240;2;-1;0;desconocido;no
36;Servis;Casado;secundaria;no;1981;no;no;desconocido;17;Junio;48;2;-1;0;desconocido;no
23;Estudiante;Soltero;secundaria;no;9216;no;no;celular;5;Junio;471;2;-1;0;desconocido;no
57;Retirado;Divorciado;secundaria;no;39;si;no;celular;30;Julio;354;3;-1;0;desconocido;no
27;Obrero;Soltero;secundaria;no;5563;si;no;desconocido;30;Mayo;435;2;-1;0;desconocido;no
38;Servis;Casado;secundaria;no;1;no;si;celular;21;Noviembre;152;2;-1;0;desconocido;no
42;Tecnico;Casado;Superior;no;782;no;no;celular;3;abril;285;1;-1;0;desconocido;no
75;Retirado;Casado;secundaria;no;3771;no;no;teléfono;15;abril;185;1;181;2;éxito;si
34;Tecnico;Soltero;Superior;no;992;si;no;celular;4;Mayo;301;1;88;2;éxito;no
48;Tecnico;Casado;secundaria;no;1526;no;no;celular;6;Agosto;273;2;-1;0;desconocido;no
35;Tecnico;Soltero;Superior;no;2658;si;no;celular;19;Agosto;768;2;141;3;fracaso;si
39;Ejecutivo;Divorciado;Superior;no;1315;si;no;celular;19;Noviembre;1337;4;126;1;fracaso;no
29;Obrero;Soltero;Superior;no;455;no;no;teléfono;21;abril;403;1;-1;0;desconocido;si
45;Tecnico;Soltero;Superior;no;0;si;no;celular;18;Noviembre;139;2;-1;0;desconocido;no
42;Tecnico;Casado;secundaria;no;2030;si;si;celular;9;Julio;196;1;-1;0;desconocido;no
29;Tecnico;Casado;secundaria;no;1599;si;no;celular;8;Julio;115;1;61;1;fracaso;no
38;Servis;Soltero;secundaria;no;-196;si;no;celular;2;Febrero;60;1;271;1;fracaso;no
56;Retirado;Casado;secundaria;no;1333;no;no;celular;28;Agosto;17;14;-1;0;desconocido;no
36;Tecnico;Soltero;secundaria;no;9149;si;no;celular;13;Agosto;141;3;-1;0;desconocido;no
25;Obrero;Soltero;secundaria;no;-350;si;no;desconocido;23;Junio;95;3;-1;0;desconocido;no
38;Tecnico;Casado;Superior;no;432;si;no;celular;15;Mayo;10;2;373;1;otro;no
57;Independientes;Casado;secundaria;no;11494;no;no;celular;19;Noviembre;198;1;-1;0;desconocido;no
31;Ejecutivo;Casado;Superior;si;-253;no;no;celular;12;Agosto;220;4;-1;0;desconocido;no
42;Ejecutivo;Casado;Superior;no;372;si;no;celular;3;Agosto;654;2;-1;0;desconocido;si
45;Tecnico;Casado;secundaria;no;1410;no;no;celular;11;Agosto;71;2;-1;0;desconocido;no
30;Obrero;Casado;secundaria;no;975;si;no;celular;13;Mayo;256;2;351;2;fracaso;no
49;Obrero;Casado;primaria;no;305;si;si;teléfono;10;Julio;834;10;-1;0;desconocido;no
49;Servis;Casado;secundaria;no;400;no;no;celular;21;Agosto;151;3;-1;0;desconocido;no
53;Retirado;Casado;Superior;no;-22;si;no;celular;31;Julio;20;3;-1;0;desconocido;no
37;Tecnico;Casado;secundaria;no;4030;si;no;desconocido;26;Mayo;178;5;-1;0;desconocido;no
49;Obrero;Casado;primaria;no;365;no;no;desconocido;26;Mayo;59;2;-1;0;desconocido;no
41;Independientes;Casado;primaria;no;204;no;no;celular;13;Agosto;111;7;-1;0;desconocido;no
54;Ejecutivo;Casado;primaria;no;1691;si;no;celular;20;Noviembre;186;1;-1;0;desconocido;no
32;Servis;Soltero;secundaria;no;406;si;no;desconocido;6;Mayo;227;1;-1;0;desconocido;no
33;Tecnico;Casado;secundaria;no;-204;no;no;celular;15;Mayo;297;3;-1;0;desconocido;no
33;Tecnico;Casado;secundaria;no;359;si;no;celular;20;abril;210;1;242;1;otro;no
36;Obrero;Casado;primaria;no;123;si;no;celular;18;Mayo;9;1;-1;0;desconocido;no
35;Tecnico;Casado;Superior;no;0;si;si;celular;23;Setiembre;112;1;62;6;otro;no
52;desconocido;Casado;secundaria;no;142;no;no;celular;25;Agosto;112;6;-1;0;desconocido;no
40;empresario;Casado;Superior;no;3571;no;no;desconocido;9;Junio;222;3;-1;0;desconocido;no
44;Tecnico;Soltero;secundaria;no;33;si;no;celular;13;Mayo;195;3;351;10;fracaso;no
45;Obrero;Soltero;secundaria;no;0;si;no;celular;26;Julio;768;2;91;5;éxito;no
30;Estudiante;Soltero;secundaria;no;3096;no;no;celular;26;Enero;123;1;-1;0;desconocido;no
48;Tecnico;Divorciado;secundaria;si;20;no;no;celular;27;Agosto;145;3;-1;0;desconocido;no
33;Obrero;Casado;secundaria;no;3576;si;no;celular;2;abril;124;1;308;2;otro;no
57;Tecnico;Casado;desconocido;no;206;si;no;desconocido;5;Mayo;216;3;-1;0;desconocido;no
57;Emple_hogar;Casado;primaria;no;7082;no;no;desconocido;6;Junio;69;3;-1;0;desconocido;no
51;Desempleado;Casado;Superior;no;1634;si;no;celular;22;Julio;168;4;-1;0;desconocido;no
34;admin.;Soltero;secundaria;no;1;si;no;celular;22;Julio;483;7;-1;0;desconocido;no
50;Independientes;Casado;Superior;no;4012;no;no;celular;19;Noviembre;690;3;-1;0;desconocido;no
44;Ejecutivo;Casado;Superior;no;3762;no;no;celular;28;Agosto;125;12;-1;0;desconocido;no
27;admin.;Casado;secundaria;no;-247;si;si;desconocido;4;Junio;344;2;-1;0;desconocido;no
50;Obrero;Casado;secundaria;no;606;si;no;desconocido;14;Mayo;673;2;-1;0;desconocido;no
36;Ejecutivo;Casado;Superior;no;0;si;no;celular;28;Enero;60;1;250;1;otro;no
42;Ejecutivo;Casado;secundaria;no;-189;si;no;desconocido;12;Mayo;247;2;-1;0;desconocido;no
32;Desempleado;Soltero;secundaria;no;0;no;no;celular;27;Mayo;123;2;-1;0;desconocido;no
42;Ejecutivo;Casado;Superior;no;484;si;no;celular;11;Julio;144;2;-1;0;desconocido;no
43;Tecnico;Casado;secundaria;no;0;no;si;celular;8;Mayo;9;2;172;5;fracaso;no
31;Ejecutivo;Casado;Superior;no;395;si;no;celular;9;Febrero;155;3;-1;0;desconocido;no
32;Ejecutivo;Casado;Superior;no;2349;no;no;celular;14;Agosto;134;5;-1;0;desconocido;no
55;Obrero;Divorciado;primaria;no;410;no;si;celular;11;Julio;221;2;-1;0;desconocido;no
58;Retirado;Casado;primaria;no;3401;si;no;celular;3;Febrero;84;3;265;2;fracaso;no
46;Obrero;Casado;primaria;no;222;no;no;celular;8;Agosto;71;2;-1;0;desconocido;no
55;Obrero;Casado;secundaria;no;989;si;si;desconocido;23;Mayo;246;4;-1;0;desconocido;no
34;Ejecutivo;Casado;Superior;no;415;no;si;celular;23;Julio;361;2;-1;0;desconocido;no
28;Desempleado;Soltero;secundaria;no;16;no;no;celular;12;Agosto;119;4;-1;0;desconocido;no
42;Tecnico;Divorciado;Superior;no;7190;si;no;celular;29;Julio;375;2;-1;0;desconocido;no
29;Obrero;Soltero;secundaria;no;482;no;si;celular;10;Julio;1097;3;-1;0;desconocido;si
54;Emple_hogar;Casado;secundaria;no;209;si;si;celular;25;Julio;97;1;-1;0;desconocido;no
32;Tecnico;Soltero;secundaria;no;0;no;no;celular;26;Agosto;181;2;-1;0;desconocido;no
39;Tecnico;Soltero;Superior;no;5803;no;no;celular;2;Febrero;83;3;-1;0;desconocido;no
53;empresario;Casado;Superior;no;624;no;si;celular;21;Julio;180;4;-1;0;desconocido;no
58;Tecnico;Casado;Superior;no;883;no;no;celular;18;Agosto;543;1;78;2;fracaso;no
40;Independientes;Casado;secundaria;no;1516;si;si;desconocido;23;Mayo;373;1;-1;0;desconocido;no
29;Estudiante;Soltero;secundaria;no;872;si;no;desconocido;7;Mayo;230;1;-1;0;desconocido;no
33;Tecnico;Casado;Superior;no;-988;si;si;celular;15;Julio;83;3;-1;0;desconocido;no
38;admin.;Soltero;secundaria;no;902;si;no;teléfono;31;Julio;58;13;-1;0;desconocido;no
56;Servis;Divorciado;secundaria;no;1007;no;no;celular;29;Julio;88;6;-1;0;desconocido;no
40;Servis;Casado;secundaria;no;0;si;no;celular;2;Junio;297;1;28;3;fracaso;no
