Edad;Ingresos;Tarjetas_credito;Educacion;Creditos_coche;Pago
29.84;Bajo;Menos de 5;Universitario;1 o ninguno;1
29.32;Bajo;Menos de 5;Universitario;1 o ninguno;1
22.51;Bajo;5 o más;Universitario;2 o más;1
31.43;Bajo;Menos de 5;Universitario;1 o ninguno;1
32.96;Bajo;5 o más;Universitario;1 o ninguno;1
37.23;Medio;5 o más;Bachillerato;2 o más;1
39.49;Bajo;5 o más;Bachillerato;2 o más;1
21.99;Bajo;5 o más;Universitario;2 o más;1
31.01;Bajo;5 o más;Universitario;2 o más;1
40.4;Bajo;5 o más;Universitario;2 o más;1
28.53;Bajo;5 o más;Universitario;2 o más;1
21.93;Medio;5 o más;Bachillerato;2 o más;1
25.52;Bajo;5 o más;Universitario;2 o más;1
20.72;Bajo;5 o más;Bachillerato;2 o más;1
43.57;Bajo;5 o más;Universitario;1 o ninguno;1
33.09;Bajo;5 o más;Universitario;2 o más;1
27.85;Medio;5 o más;Universitario;2 o más;1
28.74;Bajo;5 o más;Bachillerato;2 o más;1
44.61;Bajo;5 o más;Bachillerato;1 o ninguno;1
22.32;Alto;5 o más;Bachillerato;2 o más;1
32.73;Medio;5 o más;Bachillerato;2 o más;1
32.2;Bajo;5 o más;Bachillerato;2 o más;1
22.22;Medio;Menos de 5;Bachillerato;1 o ninguno;1
30.26;Medio;5 o más;Universitario;2 o más;1
54.68;Medio;5 o más;Universitario;2 o más;1
29.51;Medio;Menos de 5;Universitario;1 o ninguno;1
20.14;Bajo;5 o más;Bachillerato;2 o más;1
29.25;Bajo;5 o más;Bachillerato;2 o más;1
38.14;Bajo;5 o más;Universitario;2 o más;1
28.76;Bajo;5 o más;Bachillerato;2 o más;1
36.45;Bajo;5 o más;Universitario;1 o ninguno;1
20.64;Medio;5 o más;Universitario;1 o ninguno;1
24.54;Medio;5 o más;Universitario;2 o más;1
31.39;Bajo;5 o más;Bachillerato;2 o más;1
39.8;Bajo;5 o más;Bachillerato;2 o más;1
28.56;Medio;5 o más;Bachillerato;2 o más;1
22.61;Bajo;5 o más;Bachillerato;2 o más;1
33.17;Bajo;5 o más;Bachillerato;2 o más;1
43.37;Bajo;5 o más;Bachillerato;1 o ninguno;1
34.36;Medio;5 o más;Universitario;1 o ninguno;1
40.67;Medio;Menos de 5;Bachillerato;1 o ninguno;1
33.74;Alto;5 o más;Universitario;1 o ninguno;1
25.23;Medio;5 o más;Universitario;2 o más;1
26.09;Bajo;5 o más;Bachillerato;2 o más;1
31.63;Bajo;5 o más;Bachillerato;2 o más;1
41.67;Medio;5 o más;Bachillerato;2 o más;1
23.08;Medio;5 o más;Universitario;1 o ninguno;1
24.86;Bajo;5 o más;Bachillerato;2 o más;1
23.63;Medio;5 o más;Universitario;2 o más;1
25.96;Medio;5 o más;Universitario;2 o más;1
44;Medio;Menos de 5;Bachillerato;1 o ninguno;1
21.96;Bajo;5 o más;Universitario;2 o más;1
37.58;Medio;5 o más;Bachillerato;2 o más;1
53.86;Bajo;5 o más;Bachillerato;2 o más;1
29.8;Medio;5 o más;Universitario;2 o más;1
26.72;Medio;5 o más;Bachillerato;2 o más;1
24.2;Medio;5 o más;Universitario;2 o más;1
34.36;Bajo;Menos de 5;Universitario;1 o ninguno;1
24.86;Medio;5 o más;Universitario;2 o más;1
33.74;Medio;5 o más;Bachillerato;2 o más;1
36.22;Medio;Menos de 5;Universitario;1 o ninguno;1
24.22;Bajo;5 o más;Bachillerato;2 o más;1
43.81;Bajo;5 o más;Bachillerato;2 o más;1
22.58;Alto;5 o más;Bachillerato;2 o más;1
47.89;Alto;5 o más;Bachillerato;2 o más;1
37.56;Bajo;5 o más;Universitario;1 o ninguno;1
24.41;Medio;5 o más;Bachillerato;2 o más;1
28.23;Medio;5 o más;Universitario;2 o más;1
20.59;Medio;5 o más;Universitario;1 o ninguno;1
27.88;Medio;5 o más;Universitario;2 o más;1
23.6;Bajo;5 o más;Universitario;2 o más;1
20.84;Medio;Menos de 5;Bachillerato;2 o más;1
34.51;Bajo;5 o más;Bachillerato;2 o más;1
32.75;Bajo;5 o más;Bachillerato;2 o más;1
30.15;Bajo;5 o más;Bachillerato;2 o más;1
22.43;Medio;5 o más;Universitario;2 o más;1
23.45;Bajo;5 o más;Universitario;2 o más;1
31.8;Medio;5 o más;Universitario;1 o ninguno;1
22.96;Bajo;5 o más;Bachillerato;2 o más;1
37.32;Bajo;5 o más;Bachillerato;2 o más;1
29.35;Medio;5 o más;Bachillerato;2 o más;1
51.91;Medio;5 o más;Universitario;1 o ninguno;1
26.82;Medio;5 o más;Bachillerato;2 o más;1
40.76;Bajo;5 o más;Bachillerato;2 o más;1
40.51;Medio;5 o más;Universitario;2 o más;1
25.15;Medio;5 o más;Universitario;2 o más;1
30.29;Medio;5 o más;Universitario;2 o más;1
20.57;Bajo;5 o más;Bachillerato;2 o más;1
29.6;Medio;5 o más;Bachillerato;1 o ninguno;1
21.39;Bajo;5 o más;Universitario;2 o más;1
26.52;Medio;Menos de 5;Universitario;1 o ninguno;1
23.64;Bajo;5 o más;Universitario;2 o más;1
24.87;Medio;5 o más;Bachillerato;2 o más;1
26.42;Bajo;5 o más;Universitario;2 o más;1
31.89;Medio;5 o más;Bachillerato;2 o más;1
32.92;Bajo;5 o más;Bachillerato;2 o más;1
37.42;Medio;5 o más;Universitario;2 o más;1
28.14;Bajo;5 o más;Universitario;2 o más;1
24.71;Medio;5 o más;Universitario;2 o más;1
35.12;Medio;5 o más;Universitario;2 o más;1
32.56;Medio;5 o más;Bachillerato;2 o más;1
35.03;Medio;5 o más;Universitario;2 o más;1
43.27;Medio;5 o más;Bachillerato;2 o más;1
23.53;Bajo;5 o más;Bachillerato;2 o más;1
25.01;Medio;5 o más;Universitario;2 o más;1
26.61;Bajo;5 o más;Bachillerato;2 o más;1
41.41;Medio;5 o más;Universitario;2 o más;1
20.35;Bajo;Menos de 5;Bachillerato;1 o ninguno;1
35.24;Bajo;5 o más;Universitario;2 o más;1
44.3;Bajo;5 o más;Bachillerato;2 o más;1
38.61;Medio;5 o más;Universitario;2 o más;1
33.53;Medio;5 o más;Universitario;2 o más;1
22.53;Medio;5 o más;Universitario;2 o más;1
46.51;Bajo;5 o más;Bachillerato;2 o más;1
28.05;Alto;5 o más;Bachillerato;2 o más;1
40.29;Medio;5 o más;Universitario;2 o más;1
20.73;Medio;Menos de 5;Bachillerato;1 o ninguno;1
26.53;Bajo;5 o más;Bachillerato;2 o más;1
38.76;Medio;Menos de 5;Universitario;1 o ninguno;1
35.56;Alto;5 o más;Bachillerato;2 o más;1
28.25;Medio;5 o más;Bachillerato;2 o más;1
37.12;Medio;Menos de 5;Universitario;1 o ninguno;1
22.78;Medio;Menos de 5;Bachillerato;1 o ninguno;1
37.07;Medio;Menos de 5;Bachillerato;1 o ninguno;1
35;Alto;5 o más;Universitario;2 o más;1
39.02;Medio;5 o más;Bachillerato;2 o más;1
29.21;Medio;5 o más;Bachillerato;2 o más;1
21.61;Medio;5 o más;Bachillerato;2 o más;1
25.41;Bajo;5 o más;Bachillerato;2 o más;1
36.41;Medio;5 o más;Universitario;2 o más;1
34.31;Bajo;5 o más;Bachillerato;2 o más;1
20.18;Medio;5 o más;Universitario;2 o más;1
24.97;Bajo;Menos de 5;Universitario;1 o ninguno;1
22.99;Medio;Menos de 5;Universitario;1 o ninguno;1
22.93;Bajo;5 o más;Universitario;2 o más;1
31.77;Bajo;5 o más;Universitario;2 o más;1
40.78;Medio;5 o más;Universitario;2 o más;1
25.71;Medio;5 o más;Bachillerato;2 o más;1
20.23;Bajo;5 o más;Bachillerato;2 o más;1
20.82;Bajo;5 o más;Universitario;2 o más;1
22.24;Medio;5 o más;Universitario;2 o más;1
23.32;Medio;5 o más;Bachillerato;2 o más;1
26.17;Medio;5 o más;Bachillerato;2 o más;1
26.22;Medio;Menos de 5;Bachillerato;1 o ninguno;1
28.91;Medio;5 o más;Universitario;2 o más;1
30.32;Medio;5 o más;Bachillerato;2 o más;1
22.08;Medio;5 o más;Universitario;2 o más;1
22.07;Medio;5 o más;Bachillerato;2 o más;1
26.67;Alto;5 o más;Universitario;2 o más;1
28.73;Bajo;5 o más;Universitario;2 o más;1
31.09;Alto;5 o más;Bachillerato;2 o más;1
23.38;Bajo;5 o más;Bachillerato;1 o ninguno;1
25.84;Bajo;5 o más;Bachillerato;1 o ninguno;1
29.4;Medio;5 o más;Bachillerato;2 o más;1
37.36;Medio;Menos de 5;Universitario;1 o ninguno;1
27.57;Medio;5 o más;Universitario;2 o más;1
39.15;Bajo;5 o más;Bachillerato;2 o más;1
22.79;Alto;5 o más;Universitario;2 o más;1
33.41;Bajo;5 o más;Bachillerato;2 o más;1
28.03;Bajo;5 o más;Bachillerato;1 o ninguno;1
24.97;Medio;5 o más;Universitario;2 o más;1
20.04;Medio;5 o más;Universitario;2 o más;1
41.32;Bajo;5 o más;Universitario;2 o más;1
31.9;Bajo;Menos de 5;Bachillerato;2 o más;1
35.85;Medio;5 o más;Universitario;2 o más;1
20.61;Medio;5 o más;Universitario;2 o más;1
22.49;Bajo;5 o más;Universitario;2 o más;1
33.08;Bajo;5 o más;Universitario;2 o más;1
33.51;Bajo;5 o más;Universitario;2 o más;1
24.56;Medio;5 o más;Universitario;1 o ninguno;1
22.38;Medio;5 o más;Bachillerato;2 o más;1
27.78;Alto;5 o más;Universitario;2 o más;1
26.62;Medio;5 o más;Universitario;2 o más;1
28.75;Bajo;5 o más;Bachillerato;1 o ninguno;1
20.42;Bajo;Menos de 5;Universitario;1 o ninguno;1
22.73;Medio;5 o más;Bachillerato;2 o más;1
21.73;Bajo;5 o más;Bachillerato;1 o ninguno;1
25.63;Medio;5 o más;Universitario;2 o más;1
34.56;Medio;5 o más;Bachillerato;2 o más;1
40.94;Medio;5 o más;Universitario;1 o ninguno;1
35.1;Bajo;5 o más;Universitario;2 o más;1
27;Bajo;5 o más;Bachillerato;2 o más;1
20.6;Medio;5 o más;Universitario;2 o más;1
44.56;Medio;5 o más;Bachillerato;2 o más;1
33.81;Bajo;5 o más;Universitario;2 o más;1
30.95;Medio;5 o más;Universitario;2 o más;1
30.9;Bajo;5 o más;Bachillerato;2 o más;1
35.06;Bajo;Menos de 5;Universitario;1 o ninguno;1
36.36;Medio;5 o más;Universitario;2 o más;1
27.88;Medio;5 o más;Universitario;2 o más;1
32.45;Medio;5 o más;Bachillerato;2 o más;1
30.57;Bajo;5 o más;Bachillerato;2 o más;1
31.64;Medio;5 o más;Universitario;2 o más;1
22.5;Bajo;5 o más;Universitario;2 o más;1
31.82;Bajo;5 o más;Universitario;2 o más;1
33.83;Bajo;5 o más;Bachillerato;1 o ninguno;1
22.13;Medio;5 o más;Bachillerato;2 o más;1
26.88;Medio;5 o más;Bachillerato;2 o más;1
36.35;Bajo;5 o más;Universitario;2 o más;1
27.9;Medio;Menos de 5;Universitario;2 o más;1
26.69;Medio;5 o más;Bachillerato;2 o más;1
34.11;Medio;5 o más;Universitario;2 o más;1
29.24;Bajo;5 o más;Bachillerato;2 o más;1
33.94;Bajo;5 o más;Bachillerato;2 o más;1
31.93;Bajo;5 o más;Bachillerato;2 o más;1
25.36;Medio;5 o más;Universitario;2 o más;1
29.33;Bajo;5 o más;Universitario;2 o más;1
35.54;Medio;Menos de 5;Universitario;2 o más;1
27.36;Medio;Menos de 5;Bachillerato;1 o ninguno;1
34.43;Bajo;5 o más;Bachillerato;2 o más;1
26.51;Medio;5 o más;Bachillerato;2 o más;1
26.53;Medio;5 o más;Bachillerato;2 o más;1
22.44;Alto;5 o más;Bachillerato;1 o ninguno;1
29.61;Medio;Menos de 5;Bachillerato;1 o ninguno;1
21.97;Medio;5 o más;Bachillerato;2 o más;1
22.84;Medio;5 o más;Universitario;2 o más;1
39.01;Medio;5 o más;Bachillerato;2 o más;1
31.82;Medio;5 o más;Universitario;2 o más;1
30.65;Bajo;5 o más;Universitario;2 o más;1
34.38;Medio;5 o más;Bachillerato;2 o más;1
29.67;Bajo;5 o más;Universitario;2 o más;1
25.66;Medio;5 o más;Universitario;2 o más;1
21.38;Bajo;5 o más;Bachillerato;1 o ninguno;1
45.74;Bajo;Menos de 5;Bachillerato;1 o ninguno;1
37.55;Bajo;5 o más;Universitario;2 o más;1
31.05;Bajo;5 o más;Universitario;2 o más;1
30.16;Medio;5 o más;Universitario;2 o más;1
56.68;Bajo;5 o más;Universitario;2 o más;1
40.5;Medio;5 o más;Universitario;2 o más;1
51.63;Medio;Menos de 5;Bachillerato;1 o ninguno;1
25.44;Bajo;5 o más;Bachillerato;2 o más;1
32.93;Bajo;5 o más;Bachillerato;2 o más;1
37.31;Alto;5 o más;Bachillerato;2 o más;1
24.05;Bajo;5 o más;Universitario;2 o más;1
23.63;Medio;5 o más;Universitario;2 o más;1
27.18;Medio;5 o más;Universitario;2 o más;1
32.04;Alto;Menos de 5;Bachillerato;1 o ninguno;1
22.9;Bajo;5 o más;Universitario;2 o más;1
25.02;Medio;5 o más;Bachillerato;2 o más;1
31.92;Medio;5 o más;Bachillerato;2 o más;1
33.07;Medio;5 o más;Bachillerato;2 o más;1
33.09;Medio;Menos de 5;Bachillerato;1 o ninguno;1
31.35;Bajo;5 o más;Universitario;1 o ninguno;1
26.07;Alto;5 o más;Universitario;1 o ninguno;1
29.92;Bajo;5 o más;Universitario;2 o más;1
30.15;Bajo;5 o más;Bachillerato;2 o más;1
40.39;Medio;5 o más;Bachillerato;2 o más;1
23.07;Medio;5 o más;Universitario;2 o más;1
26.24;Medio;Menos de 5;Bachillerato;1 o ninguno;1
34.06;Medio;5 o más;Universitario;2 o más;1
28.38;Medio;5 o más;Bachillerato;2 o más;1
24.02;Medio;5 o más;Bachillerato;2 o más;1
29.87;Medio;Menos de 5;Universitario;1 o ninguno;1
37.79;Bajo;5 o más;Bachillerato;2 o más;1
44.47;Medio;5 o más;Universitario;2 o más;1
25.38;Medio;5 o más;Bachillerato;2 o más;1
32.61;Medio;5 o más;Universitario;2 o más;1
22.65;Medio;5 o más;Universitario;2 o más;1
21.92;Medio;5 o más;Universitario;2 o más;1
25.34;Medio;Menos de 5;Universitario;1 o ninguno;1
37.68;Medio;5 o más;Bachillerato;2 o más;1
27.43;Bajo;5 o más;Universitario;2 o más;1
41.71;Bajo;5 o más;Universitario;2 o más;1
34.82;Bajo;5 o más;Bachillerato;2 o más;1
32.43;Bajo;5 o más;Universitario;2 o más;1
33.91;Bajo;5 o más;Universitario;2 o más;1
23.24;Bajo;5 o más;Universitario;2 o más;1
32.91;Medio;5 o más;Universitario;2 o más;1
29.08;Medio;5 o más;Bachillerato;2 o más;1
40.21;Medio;5 o más;Universitario;2 o más;1
25.32;Bajo;5 o más;Universitario;2 o más;1
44.69;Medio;5 o más;Bachillerato;2 o más;1
26.3;Bajo;5 o más;Bachillerato;2 o más;1
28.44;Bajo;5 o más;Universitario;2 o más;1
31.75;Medio;Menos de 5;Bachillerato;1 o ninguno;1
36.56;Medio;Menos de 5;Bachillerato;1 o ninguno;1
30.09;Bajo;5 o más;Universitario;2 o más;1
27.64;Bajo;5 o más;Universitario;2 o más;1
23.98;Bajo;5 o más;Universitario;2 o más;1
23.41;Bajo;5 o más;Bachillerato;2 o más;1
23.79;Bajo;5 o más;Universitario;2 o más;1
21.55;Bajo;5 o más;Universitario;2 o más;1
35.29;Bajo;Menos de 5;Bachillerato;1 o ninguno;1
22.46;Alto;5 o más;Universitario;1 o ninguno;1
43.66;Bajo;5 o más;Universitario;2 o más;1
20.4;Bajo;Menos de 5;Bachillerato;2 o más;1
25.11;Medio;5 o más;Bachillerato;2 o más;1
23.03;Bajo;5 o más;Universitario;2 o más;1
25.47;Medio;5 o más;Bachillerato;1 o ninguno;1
27.1;Medio;5 o más;Universitario;2 o más;1
30.32;Bajo;5 o más;Bachillerato;2 o más;1
36.66;Medio;5 o más;Bachillerato;2 o más;1
36.48;Bajo;5 o más;Bachillerato;2 o más;1
31.2;Medio;5 o más;Universitario;2 o más;1
31.08;Medio;5 o más;Bachillerato;2 o más;1
26.41;Medio;5 o más;Bachillerato;2 o más;1
32;Bajo;5 o más;Bachillerato;2 o más;1
37.45;Medio;5 o más;Universitario;1 o ninguno;1
35.83;Bajo;5 o más;Bachillerato;2 o más;1
25.03;Medio;Menos de 5;Bachillerato;1 o ninguno;1
21.01;Bajo;Menos de 5;Universitario;1 o ninguno;1
31.99;Alto;Menos de 5;Universitario;2 o más;1
29.62;Bajo;5 o más;Universitario;2 o más;1
43.98;Medio;5 o más;Universitario;2 o más;1
21.83;Medio;5 o más;Universitario;2 o más;1
31.05;Bajo;5 o más;Bachillerato;1 o ninguno;1
27.42;Bajo;5 o más;Bachillerato;2 o más;1
29.99;Bajo;5 o más;Bachillerato;1 o ninguno;1
23.02;Medio;Menos de 5;Bachillerato;1 o ninguno;1
25.74;Alto;5 o más;Universitario;1 o ninguno;1
28.5;Bajo;5 o más;Bachillerato;2 o más;1
20.54;Bajo;5 o más;Bachillerato;2 o más;1
30.56;Alto;5 o más;Universitario;2 o más;1
38.39;Medio;Menos de 5;Bachillerato;1 o ninguno;1
24.16;Bajo;5 o más;Bachillerato;2 o más;1
26.95;Bajo;5 o más;Bachillerato;2 o más;1
38.89;Bajo;5 o más;Bachillerato;2 o más;1
30.96;Medio;5 o más;Universitario;2 o más;1
22.01;Medio;Menos de 5;Universitario;1 o ninguno;1
35.01;Medio;5 o más;Universitario;2 o más;1
39.29;Medio;5 o más;Universitario;2 o más;1
28.4;Bajo;5 o más;Universitario;2 o más;1
33.29;Medio;5 o más;Universitario;2 o más;1
41.31;Medio;5 o más;Universitario;2 o más;1
41.31;Medio;5 o más;Universitario;2 o más;1
40.86;Bajo;5 o más;Universitario;2 o más;1
32.95;Bajo;5 o más;Universitario;2 o más;1
34.88;Medio;5 o más;Bachillerato;2 o más;1
23.79;Medio;5 o más;Universitario;2 o más;1
43.29;Alto;5 o más;Bachillerato;2 o más;1
22.47;Bajo;Menos de 5;Universitario;1 o ninguno;1
27.46;Medio;5 o más;Universitario;2 o más;1
27.77;Bajo;5 o más;Universitario;2 o más;1
36.7;Bajo;5 o más;Bachillerato;2 o más;1
28.42;Bajo;5 o más;Bachillerato;2 o más;1
23.63;Bajo;5 o más;Bachillerato;2 o más;1
23.34;Medio;5 o más;Bachillerato;2 o más;1
38.07;Bajo;5 o más;Universitario;2 o más;1
27.24;Medio;5 o más;Universitario;2 o más;1
36.8;Bajo;5 o más;Universitario;2 o más;1
28.46;Alto;Menos de 5;Universitario;1 o ninguno;1
33.28;Bajo;5 o más;Universitario;2 o más;1
25.62;Alto;5 o más;Bachillerato;2 o más;1
26.11;Medio;5 o más;Universitario;1 o ninguno;1
27.81;Medio;Menos de 5;Bachillerato;1 o ninguno;1
30.07;Alto;5 o más;Universitario;2 o más;1
33.95;Medio;Menos de 5;Universitario;1 o ninguno;1
26.99;Bajo;5 o más;Bachillerato;2 o más;1
39.15;Bajo;5 o más;Bachillerato;2 o más;1
26.92;Medio;5 o más;Universitario;2 o más;1
37.66;Alto;5 o más;Bachillerato;2 o más;1
29.86;Medio;5 o más;Universitario;2 o más;1
30.33;Bajo;5 o más;Bachillerato;2 o más;1
24.53;Medio;Menos de 5;Bachillerato;1 o ninguno;1
20.95;Bajo;Menos de 5;Universitario;2 o más;1
20.59;Medio;5 o más;Universitario;2 o más;1
37.61;Alto;5 o más;Universitario;2 o más;1
36.61;Bajo;5 o más;Bachillerato;2 o más;1
24.2;Bajo;5 o más;Universitario;2 o más;1
22.92;Medio;5 o más;Bachillerato;1 o ninguno;1
29.5;Bajo;5 o más;Universitario;1 o ninguno;1
23.65;Bajo;5 o más;Universitario;2 o más;1
38.97;Medio;5 o más;Bachillerato;2 o más;1
21.52;Medio;Menos de 5;Universitario;1 o ninguno;1
34.83;Bajo;5 o más;Bachillerato;2 o más;1
33.72;Bajo;5 o más;Universitario;2 o más;1
31.11;Bajo;5 o más;Universitario;2 o más;1
39.4;Medio;5 o más;Bachillerato;2 o más;1
36.94;Medio;5 o más;Bachillerato;2 o más;1
37.67;Alto;5 o más;Bachillerato;1 o ninguno;1
21.33;Bajo;5 o más;Bachillerato;1 o ninguno;1
20.5;Bajo;5 o más;Universitario;1 o ninguno;1
23.12;Medio;5 o más;Universitario;2 o más;1
22.96;Bajo;5 o más;Bachillerato;2 o más;1
37.6;Bajo;5 o más;Bachillerato;2 o más;1
29.02;Bajo;5 o más;Bachillerato;2 o más;1
26.96;Bajo;5 o más;Universitario;2 o más;1
40.33;Medio;5 o más;Bachillerato;2 o más;1
23.3;Medio;5 o más;Universitario;2 o más;1
27.85;Medio;5 o más;Universitario;2 o más;1
29.14;Medio;5 o más;Bachillerato;2 o más;1
25.05;Medio;Menos de 5;Bachillerato;1 o ninguno;1
