Estado_civil;Residencia;Profesión;Casa;Genero;Edad;Ingresos;Tarjetas_credito;Educacion;Creditos_coche;Pago
3;4;1;2;1;22.76;Bajo;5 o más;Universitario;2 o más;1
4;4;4;2;1;32.9;Medio;5 o más;Universitario;2 o más;1
4;4;4;3;1;33.21;Medio;5 o más;Universitario;2 o más;1
2;2;2;2;1;27.98;Alto;5 o más;Universitario;1 o ninguno;1
3;5;3;3;2;20.99;Medio;5 o más;Bachillerato;2 o más;1
4;5;3;3;2;28.61;Medio;5 o más;Bachillerato;2 o más;1
5;1;4;1;2;20.79;Medio;5 o más;Universitario;2 o más;1
5;4;3;2;1;20.71;Medio;5 o más;Universitario;1 o ninguno;1
3;3;4;2;1;24.48;Bajo;5 o más;Universitario;2 o más;1
4;3;4;2;2;47.16;Medio;5 o más;Bachillerato;2 o más;1
4;2;4;3;2;24.68;Medio;5 o más;Universitario;2 o más;1
1;2;4;3;2;30.81;Alto;5 o más;Universitario;2 o más;1
5;2;1;3;2;20.89;Bajo;5 o más;Universitario;2 o más;1
3;2;5;2;2;21.05;Medio;5 o más;Bachillerato;2 o más;1
1;1;3;3;1;32.43;Medio;5 o más;Universitario;2 o más;1
3;1;2;1;2;31.35;Medio;5 o más;Universitario;2 o más;1
4;3;5;3;2;22.93;Medio;5 o más;Bachillerato;2 o más;1
5;5;1;3;1;35.15;Medio;5 o más;Universitario;2 o más;1
2;3;5;2;2;24.69;Medio;Menos de 5;Bachillerato;1 o ninguno;1
1;5;1;3;1;37.33;Bajo;5 o más;Universitario;2 o más;1
1;3;5;3;2;30.7;Medio;5 o más;Universitario;2 o más;1
3;2;4;2;2;32.92;Bajo;5 o más;Universitario;2 o más;1
3;1;1;2;1;23.85;Bajo;5 o más;Bachillerato;2 o más;1
2;3;2;3;1;46.77;Bajo;5 o más;Universitario;2 o más;1
5;4;4;2;2;27.91;Medio;5 o más;Universitario;2 o más;1
5;2;4;1;1;46.44;Medio;5 o más;Bachillerato;1 o ninguno;1
1;1;5;1;2;20.66;Bajo;5 o más;Universitario;2 o más;1
3;2;3;1;1;20.96;Bajo;5 o más;Bachillerato;1 o ninguno;1
4;1;3;2;2;24.45;Medio;5 o más;Universitario;2 o más;1
1;1;4;2;1;27.06;Bajo;5 o más;Universitario;2 o más;1
2;2;4;2;2;38.06;Bajo;5 o más;Bachillerato;2 o más;1
4;2;4;2;1;22.99;Medio;5 o más;Bachillerato;2 o más;1
2;4;3;1;1;22.37;Bajo;5 o más;Bachillerato;2 o más;1
2;1;2;2;1;26.21;Bajo;5 o más;Universitario;2 o más;1
5;1;5;3;2;36.45;Medio;5 o más;Universitario;2 o más;1
2;4;5;3;2;22.72;Medio;5 o más;Bachillerato;2 o más;1
2;3;2;1;2;33.28;Bajo;5 o más;Bachillerato;2 o más;1
3;2;1;2;2;28.15;Medio;5 o más;Universitario;2 o más;1
4;5;5;3;2;44.13;Medio;5 o más;Universitario;1 o ninguno;1
1;2;5;1;1;24.89;Bajo;5 o más;Bachillerato;2 o más;1
2;1;1;3;2;21.87;Medio;5 o más;Universitario;2 o más;1
5;4;1;1;2;28.23;Bajo;5 o más;Universitario;1 o ninguno;1
3;4;2;2;1;36.98;Medio;5 o más;Bachillerato;2 o más;1
3;1;5;3;2;24.16;Bajo;5 o más;Bachillerato;2 o más;1
3;3;1;3;1;35.67;Medio;5 o más;Bachillerato;2 o más;1
5;5;1;1;2;24.97;Bajo;5 o más;Bachillerato;2 o más;1
2;5;3;1;2;30.57;Medio;5 o más;Universitario;2 o más;1
2;3;1;2;1;20.38;Bajo;5 o más;Bachillerato;2 o más;1
5;4;2;3;1;32.67;Medio;5 o más;Bachillerato;2 o más;1
5;5;1;1;2;20.57;Bajo;5 o más;Universitario;2 o más;1
2;2;3;3;1;26.66;Bajo;Menos de 5;Universitario;1 o ninguno;1
5;5;2;1;1;30.8;Bajo;5 o más;Bachillerato;2 o más;1
4;3;4;2;2;29.84;Medio;5 o más;Bachillerato;2 o más;1
2;4;5;2;1;50.83;Bajo;5 o más;Universitario;2 o más;1
3;3;1;3;1;29.26;Bajo;5 o más;Bachillerato;2 o más;1
4;3;1;1;1;35.22;Medio;5 o más;Bachillerato;2 o más;1
5;4;1;3;2;35.82;Bajo;5 o más;Bachillerato;1 o ninguno;1
5;3;3;3;1;24.44;Medio;5 o más;Universitario;2 o más;1
1;3;1;2;1;23.4;Medio;5 o más;Universitario;2 o más;1
1;4;4;2;2;38.68;Medio;5 o más;Universitario;2 o más;1
5;2;2;2;1;21.86;Medio;5 o más;Bachillerato;2 o más;1
4;1;3;2;2;24.04;Bajo;5 o más;Universitario;2 o más;1
2;1;1;3;2;25.72;Medio;5 o más;Bachillerato;2 o más;1
5;3;2;2;2;26.81;Medio;5 o más;Bachillerato;2 o más;1
4;5;1;1;1;36.62;Medio;5 o más;Universitario;2 o más;1
3;5;1;3;2;29.05;Bajo;5 o más;Bachillerato;2 o más;1
2;3;4;1;2;30.77;Bajo;5 o más;Universitario;2 o más;1
2;2;2;2;2;22.17;Bajo;5 o más;Universitario;2 o más;1
3;4;1;2;1;42.93;Bajo;5 o más;Bachillerato;2 o más;1
5;1;1;3;1;26.79;Medio;Menos de 5;Universitario;1 o ninguno;1
4;2;5;3;1;24.24;Bajo;5 o más;Bachillerato;2 o más;1
1;4;4;3;1;25.82;Bajo;5 o más;Bachillerato;2 o más;1
5;1;1;1;1;20.74;Medio;5 o más;Universitario;2 o más;1
4;5;5;3;2;40.87;Medio;5 o más;Universitario;2 o más;1
2;4;5;1;2;52.95;Bajo;5 o más;Bachillerato;2 o más;1
3;1;2;2;1;25.35;Medio;5 o más;Bachillerato;2 o más;1
5;5;2;3;1;28.12;Bajo;5 o más;Bachillerato;2 o más;1
5;4;3;3;2;29.51;Bajo;5 o más;Universitario;2 o más;1
5;4;3;2;1;35.9;Bajo;5 o más;Bachillerato;2 o más;1
4;4;5;1;2;20.14;Medio;5 o más;Universitario;2 o más;1
5;5;5;3;1;23.23;Bajo;5 o más;Bachillerato;2 o más;1
4;3;1;3;2;44.82;Bajo;5 o más;Universitario;2 o más;1
1;3;5;1;2;43.57;Medio;5 o más;Bachillerato;2 o más;1
2;1;2;3;2;20.16;Medio;Menos de 5;Bachillerato;1 o ninguno;1
5;5;4;1;1;27.44;Bajo;5 o más;Bachillerato;2 o más;1
3;5;1;3;1;24.03;Bajo;5 o más;Universitario;2 o más;1
4;4;1;1;1;37.08;Medio;5 o más;Universitario;2 o más;1
3;3;5;2;1;25.79;Alto;5 o más;Bachillerato;1 o ninguno;1
1;2;3;2;2;24.8;Bajo;5 o más;Bachillerato;2 o más;1
4;4;5;1;1;31.75;Bajo;5 o más;Universitario;2 o más;1
2;1;4;3;2;38.72;Medio;5 o más;Bachillerato;1 o ninguno;1
3;1;4;2;2;24.12;Medio;5 o más;Bachillerato;2 o más;1
2;3;1;1;2;31.8;Bajo;5 o más;Universitario;2 o más;1
4;4;5;1;1;43.03;Bajo;5 o más;Bachillerato;2 o más;1
2;3;4;3;2;22.1;Medio;5 o más;Bachillerato;2 o más;1
2;4;2;2;2;26.8;Alto;5 o más;Bachillerato;2 o más;1
5;2;4;2;2;39.98;Alto;5 o más;Bachillerato;2 o más;1
3;2;4;2;1;31.48;Medio;Menos de 5;Universitario;1 o ninguno;1
5;2;4;3;1;23.64;Bajo;5 o más;Universitario;2 o más;1
4;2;3;1;2;33.18;Bajo;5 o más;Universitario;2 o más;1
5;2;4;1;1;40;Bajo;5 o más;Universitario;2 o más;1
2;5;2;2;2;23.45;Alto;5 o más;Universitario;2 o más;1
3;5;5;3;1;29.84;Bajo;Menos de 5;Universitario;1 o ninguno;1
5;4;5;2;2;29.32;Bajo;Menos de 5;Universitario;1 o ninguno;1
1;1;1;2;2;22.51;Bajo;5 o más;Universitario;2 o más;1
1;1;1;1;2;31.43;Bajo;Menos de 5;Universitario;1 o ninguno;1
2;4;3;2;2;32.96;Bajo;5 o más;Universitario;1 o ninguno;1
3;4;5;3;2;37.23;Medio;5 o más;Bachillerato;2 o más;1
3;2;3;1;2;39.49;Bajo;5 o más;Bachillerato;2 o más;1
5;5;4;2;1;21.99;Bajo;5 o más;Universitario;2 o más;1
3;3;3;2;1;31.01;Bajo;5 o más;Universitario;2 o más;1
3;2;4;2;2;40.4;Bajo;5 o más;Universitario;2 o más;1
1;1;5;1;2;28.53;Bajo;5 o más;Universitario;2 o más;1
2;5;4;3;2;21.93;Medio;5 o más;Bachillerato;2 o más;1
3;3;3;2;2;25.52;Bajo;5 o más;Universitario;2 o más;1
1;3;5;1;2;20.72;Bajo;5 o más;Bachillerato;2 o más;1
2;5;3;3;2;43.57;Bajo;5 o más;Universitario;1 o ninguno;1
3;5;4;2;1;33.09;Bajo;5 o más;Universitario;2 o más;1
2;5;1;3;1;27.85;Medio;5 o más;Universitario;2 o más;1
1;1;5;2;2;28.74;Bajo;5 o más;Bachillerato;2 o más;1
5;1;4;1;2;44.61;Bajo;5 o más;Bachillerato;1 o ninguno;1
2;5;3;3;1;22.32;Alto;5 o más;Bachillerato;2 o más;1
1;5;3;1;2;32.73;Medio;5 o más;Bachillerato;2 o más;1
1;5;1;3;1;32.2;Bajo;5 o más;Bachillerato;2 o más;1
4;1;1;3;2;22.22;Medio;Menos de 5;Bachillerato;1 o ninguno;1
4;4;2;2;1;30.26;Medio;5 o más;Universitario;2 o más;1
1;2;4;2;1;54.68;Medio;5 o más;Universitario;2 o más;1
2;5;2;3;2;29.51;Medio;Menos de 5;Universitario;1 o ninguno;1
5;1;2;2;2;20.14;Bajo;5 o más;Bachillerato;2 o más;1
2;3;2;2;2;29.25;Bajo;5 o más;Bachillerato;2 o más;1
4;5;3;2;2;38.14;Bajo;5 o más;Universitario;2 o más;1
4;3;5;1;1;28.76;Bajo;5 o más;Bachillerato;2 o más;1
2;1;3;1;2;36.45;Bajo;5 o más;Universitario;1 o ninguno;1
5;5;3;2;1;20.64;Medio;5 o más;Universitario;1 o ninguno;1
4;5;3;1;1;24.54;Medio;5 o más;Universitario;2 o más;1
1;1;3;1;2;31.39;Bajo;5 o más;Bachillerato;2 o más;1
2;1;4;1;1;39.8;Bajo;5 o más;Bachillerato;2 o más;1
1;5;3;3;2;28.56;Medio;5 o más;Bachillerato;2 o más;1
4;1;4;1;1;22.61;Bajo;5 o más;Bachillerato;2 o más;1
4;2;3;2;2;33.17;Bajo;5 o más;Bachillerato;2 o más;1
2;1;1;2;2;43.37;Bajo;5 o más;Bachillerato;1 o ninguno;1
1;2;1;1;1;34.36;Medio;5 o más;Universitario;1 o ninguno;1
4;1;3;2;1;40.67;Medio;Menos de 5;Bachillerato;1 o ninguno;1
2;5;3;1;2;33.74;Alto;5 o más;Universitario;1 o ninguno;1
4;5;5;2;2;25.23;Medio;5 o más;Universitario;2 o más;1
1;4;4;2;2;26.09;Bajo;5 o más;Bachillerato;2 o más;1
2;4;4;1;2;31.63;Bajo;5 o más;Bachillerato;2 o más;1
5;5;3;2;1;41.67;Medio;5 o más;Bachillerato;2 o más;1
2;4;5;1;1;23.08;Medio;5 o más;Universitario;1 o ninguno;1
1;3;1;3;1;24.86;Bajo;5 o más;Bachillerato;2 o más;1
4;5;2;2;2;23.63;Medio;5 o más;Universitario;2 o más;1
5;1;2;3;2;25.96;Medio;5 o más;Universitario;2 o más;1
2;4;2;3;1;44;Medio;Menos de 5;Bachillerato;1 o ninguno;1
4;5;2;2;1;21.96;Bajo;5 o más;Universitario;2 o más;1
1;4;1;1;2;37.58;Medio;5 o más;Bachillerato;2 o más;1
2;4;5;3;1;53.86;Bajo;5 o más;Bachillerato;2 o más;1
2;3;5;1;1;29.8;Medio;5 o más;Universitario;2 o más;1
5;3;3;1;1;26.72;Medio;5 o más;Bachillerato;2 o más;1
5;4;4;3;1;24.2;Medio;5 o más;Universitario;2 o más;1
1;2;3;3;2;34.36;Bajo;Menos de 5;Universitario;1 o ninguno;1
1;3;4;1;2;24.86;Medio;5 o más;Universitario;2 o más;1
2;4;5;2;2;33.74;Medio;5 o más;Bachillerato;2 o más;1
5;3;4;1;1;36.22;Medio;Menos de 5;Universitario;1 o ninguno;1
2;3;4;3;1;24.22;Bajo;5 o más;Bachillerato;2 o más;1
3;2;4;1;1;43.81;Bajo;5 o más;Bachillerato;2 o más;1
3;2;5;2;2;22.58;Alto;5 o más;Bachillerato;2 o más;1
2;3;1;3;2;47.89;Alto;5 o más;Bachillerato;2 o más;1
4;4;3;2;1;37.56;Bajo;5 o más;Universitario;1 o ninguno;1
3;1;5;2;1;24.41;Medio;5 o más;Bachillerato;2 o más;1
5;3;2;3;2;28.23;Medio;5 o más;Universitario;2 o más;1
1;5;4;3;1;20.59;Medio;5 o más;Universitario;1 o ninguno;1
1;4;2;2;1;27.88;Medio;5 o más;Universitario;2 o más;1
5;5;2;1;1;23.6;Bajo;5 o más;Universitario;2 o más;1
3;4;2;2;2;20.84;Medio;Menos de 5;Bachillerato;2 o más;1
2;4;5;2;1;34.51;Bajo;5 o más;Bachillerato;2 o más;1
3;4;5;3;2;32.75;Bajo;5 o más;Bachillerato;2 o más;1
2;2;4;1;2;30.15;Bajo;5 o más;Bachillerato;2 o más;1
5;1;3;2;1;22.43;Medio;5 o más;Universitario;2 o más;1
3;2;4;3;1;23.45;Bajo;5 o más;Universitario;2 o más;1
3;3;5;1;1;31.8;Medio;5 o más;Universitario;1 o ninguno;1
2;2;2;3;1;22.96;Bajo;5 o más;Bachillerato;2 o más;1
2;5;2;1;1;37.32;Bajo;5 o más;Bachillerato;2 o más;1
4;4;4;1;1;29.35;Medio;5 o más;Bachillerato;2 o más;1
5;4;3;3;1;51.91;Medio;5 o más;Universitario;1 o ninguno;1
1;4;1;3;1;26.82;Medio;5 o más;Bachillerato;2 o más;1
5;2;2;2;1;40.76;Bajo;5 o más;Bachillerato;2 o más;1
4;5;1;2;2;40.51;Medio;5 o más;Universitario;2 o más;1
2;1;3;3;2;25.15;Medio;5 o más;Universitario;2 o más;1
3;1;3;2;2;30.29;Medio;5 o más;Universitario;2 o más;1
5;3;3;3;2;20.57;Bajo;5 o más;Bachillerato;2 o más;1
2;5;3;1;1;29.6;Medio;5 o más;Bachillerato;1 o ninguno;1
1;1;5;3;1;21.39;Bajo;5 o más;Universitario;2 o más;1
5;4;2;3;1;26.52;Medio;Menos de 5;Universitario;1 o ninguno;1
1;5;5;2;1;23.64;Bajo;5 o más;Universitario;2 o más;1
2;2;1;2;2;24.87;Medio;5 o más;Bachillerato;2 o más;1
3;1;5;1;2;26.42;Bajo;5 o más;Universitario;2 o más;1
1;1;4;3;2;31.89;Medio;5 o más;Bachillerato;2 o más;1
1;1;2;2;1;32.92;Bajo;5 o más;Bachillerato;2 o más;1
1;3;5;3;2;37.42;Medio;5 o más;Universitario;2 o más;1
3;3;3;1;1;28.14;Bajo;5 o más;Universitario;2 o más;1
4;2;5;2;2;24.71;Medio;5 o más;Universitario;2 o más;1
1;4;3;2;1;35.12;Medio;5 o más;Universitario;2 o más;1
5;1;1;1;1;32.56;Medio;5 o más;Bachillerato;2 o más;1
2;2;2;3;1;35.03;Medio;5 o más;Universitario;2 o más;1
2;3;4;3;2;43.27;Medio;5 o más;Bachillerato;2 o más;1
5;3;5;2;2;23.53;Bajo;5 o más;Bachillerato;2 o más;1
3;1;5;2;2;25.01;Medio;5 o más;Universitario;2 o más;1
1;5;3;3;1;26.61;Bajo;5 o más;Bachillerato;2 o más;1
4;4;2;2;2;41.41;Medio;5 o más;Universitario;2 o más;1
1;4;4;2;2;20.35;Bajo;Menos de 5;Bachillerato;1 o ninguno;1
4;4;2;2;2;35.24;Bajo;5 o más;Universitario;2 o más;1
3;5;2;3;2;44.3;Bajo;5 o más;Bachillerato;2 o más;1
2;4;1;2;1;38.61;Medio;5 o más;Universitario;2 o más;1
5;4;5;3;1;33.53;Medio;5 o más;Universitario;2 o más;1
3;3;5;1;1;22.53;Medio;5 o más;Universitario;2 o más;1
3;4;5;3;2;46.51;Bajo;5 o más;Bachillerato;2 o más;1
5;1;5;3;2;28.05;Alto;5 o más;Bachillerato;2 o más;1
4;2;4;2;2;40.29;Medio;5 o más;Universitario;2 o más;1
4;1;4;1;1;20.73;Medio;Menos de 5;Bachillerato;1 o ninguno;1
3;4;4;1;2;26.53;Bajo;5 o más;Bachillerato;2 o más;1
4;2;2;3;1;38.76;Medio;Menos de 5;Universitario;1 o ninguno;1
2;5;2;1;2;35.56;Alto;5 o más;Bachillerato;2 o más;1
3;4;4;2;1;28.25;Medio;5 o más;Bachillerato;2 o más;1
3;5;5;2;1;37.12;Medio;Menos de 5;Universitario;1 o ninguno;1
4;4;1;1;1;22.78;Medio;Menos de 5;Bachillerato;1 o ninguno;1
1;2;1;1;1;37.07;Medio;Menos de 5;Bachillerato;1 o ninguno;1
4;1;1;1;2;35;Alto;5 o más;Universitario;2 o más;1
5;5;5;1;2;39.02;Medio;5 o más;Bachillerato;2 o más;1
1;4;5;1;1;29.21;Medio;5 o más;Bachillerato;2 o más;1
3;3;1;2;2;21.61;Medio;5 o más;Bachillerato;2 o más;1
5;1;4;1;2;25.41;Bajo;5 o más;Bachillerato;2 o más;1
2;3;2;1;1;36.41;Medio;5 o más;Universitario;2 o más;1
2;5;4;2;2;34.31;Bajo;5 o más;Bachillerato;2 o más;1
5;1;1;1;1;20.18;Medio;5 o más;Universitario;2 o más;1
3;5;5;1;2;24.97;Bajo;Menos de 5;Universitario;1 o ninguno;1
3;4;1;2;1;22.99;Medio;Menos de 5;Universitario;1 o ninguno;1
4;1;3;1;1;22.93;Bajo;5 o más;Universitario;2 o más;1
3;3;5;1;2;31.77;Bajo;5 o más;Universitario;2 o más;1
1;5;3;3;1;40.78;Medio;5 o más;Universitario;2 o más;1
2;5;3;3;2;25.71;Medio;5 o más;Bachillerato;2 o más;1
3;2;5;2;2;20.23;Bajo;5 o más;Bachillerato;2 o más;1
4;1;3;1;1;20.82;Bajo;5 o más;Universitario;2 o más;1
5;4;1;2;2;22.24;Medio;5 o más;Universitario;2 o más;1
4;1;3;3;1;23.32;Medio;5 o más;Bachillerato;2 o más;1
3;1;2;3;2;26.17;Medio;5 o más;Bachillerato;2 o más;1
1;2;3;2;2;26.22;Medio;Menos de 5;Bachillerato;1 o ninguno;1
4;5;2;2;2;28.91;Medio;5 o más;Universitario;2 o más;1
4;1;5;1;2;30.32;Medio;5 o más;Bachillerato;2 o más;1
3;3;3;3;2;22.08;Medio;5 o más;Universitario;2 o más;1
1;4;3;3;1;22.07;Medio;5 o más;Bachillerato;2 o más;1
1;3;4;1;2;26.67;Alto;5 o más;Universitario;2 o más;1
4;4;2;3;1;28.73;Bajo;5 o más;Universitario;2 o más;1
3;2;1;1;2;31.09;Alto;5 o más;Bachillerato;2 o más;1
4;5;4;1;2;23.38;Bajo;5 o más;Bachillerato;1 o ninguno;1
4;2;2;2;1;25.84;Bajo;5 o más;Bachillerato;1 o ninguno;1
2;1;3;3;2;29.4;Medio;5 o más;Bachillerato;2 o más;1
5;2;2;1;2;37.36;Medio;Menos de 5;Universitario;1 o ninguno;1
5;3;1;3;1;27.57;Medio;5 o más;Universitario;2 o más;1
5;3;3;3;2;39.15;Bajo;5 o más;Bachillerato;2 o más;1
1;3;5;1;1;22.79;Alto;5 o más;Universitario;2 o más;1
2;3;5;2;2;33.41;Bajo;5 o más;Bachillerato;2 o más;1
5;4;5;3;1;28.03;Bajo;5 o más;Bachillerato;1 o ninguno;1
1;2;4;2;1;24.97;Medio;5 o más;Universitario;2 o más;1
3;5;5;2;1;20.04;Medio;5 o más;Universitario;2 o más;1
3;1;4;1;1;41.32;Bajo;5 o más;Universitario;2 o más;1
1;3;3;3;1;31.9;Bajo;Menos de 5;Bachillerato;2 o más;1
3;3;1;2;2;35.85;Medio;5 o más;Universitario;2 o más;1
5;4;4;1;1;20.61;Medio;5 o más;Universitario;2 o más;1
2;2;4;3;1;22.49;Bajo;5 o más;Universitario;2 o más;1
3;4;1;1;1;33.08;Bajo;5 o más;Universitario;2 o más;1
2;3;4;1;2;33.51;Bajo;5 o más;Universitario;2 o más;1
2;1;1;2;1;24.56;Medio;5 o más;Universitario;1 o ninguno;1
5;4;4;1;2;22.38;Medio;5 o más;Bachillerato;2 o más;1
2;4;4;3;1;27.78;Alto;5 o más;Universitario;2 o más;1
4;5;1;3;1;26.62;Medio;5 o más;Universitario;2 o más;1
3;3;3;1;1;28.75;Bajo;5 o más;Bachillerato;1 o ninguno;1
2;1;4;3;1;20.42;Bajo;Menos de 5;Universitario;1 o ninguno;1
5;4;4;2;2;22.73;Medio;5 o más;Bachillerato;2 o más;1
3;4;2;2;2;21.73;Bajo;5 o más;Bachillerato;1 o ninguno;1
1;3;2;1;1;25.63;Medio;5 o más;Universitario;2 o más;1
1;4;5;3;2;34.56;Medio;5 o más;Bachillerato;2 o más;1
4;3;2;3;2;40.94;Medio;5 o más;Universitario;1 o ninguno;1
1;3;1;1;2;35.1;Bajo;5 o más;Universitario;2 o más;1
1;3;5;1;1;27;Bajo;5 o más;Bachillerato;2 o más;1
4;3;1;3;1;20.6;Medio;5 o más;Universitario;2 o más;1
1;4;1;1;1;44.56;Medio;5 o más;Bachillerato;2 o más;1
3;1;4;2;1;33.81;Bajo;5 o más;Universitario;2 o más;1
5;5;1;2;2;30.95;Medio;5 o más;Universitario;2 o más;1
3;4;4;2;1;30.9;Bajo;5 o más;Bachillerato;2 o más;1
1;2;4;2;2;35.06;Bajo;Menos de 5;Universitario;1 o ninguno;1
3;1;2;1;1;36.36;Medio;5 o más;Universitario;2 o más;1
1;2;2;3;1;27.88;Medio;5 o más;Universitario;2 o más;1
1;5;1;1;1;32.45;Medio;5 o más;Bachillerato;2 o más;1
1;5;5;3;1;30.57;Bajo;5 o más;Bachillerato;2 o más;1
2;1;3;2;1;31.64;Medio;5 o más;Universitario;2 o más;1
1;1;3;1;1;22.5;Bajo;5 o más;Universitario;2 o más;1
3;3;5;2;2;31.82;Bajo;5 o más;Universitario;2 o más;1
5;1;2;1;2;33.83;Bajo;5 o más;Bachillerato;1 o ninguno;1
3;4;4;2;1;22.13;Medio;5 o más;Bachillerato;2 o más;1
2;5;2;2;1;26.88;Medio;5 o más;Bachillerato;2 o más;1
2;3;3;3;1;36.35;Bajo;5 o más;Universitario;2 o más;1
4;1;5;3;1;27.9;Medio;Menos de 5;Universitario;2 o más;1
5;1;1;2;2;26.69;Medio;5 o más;Bachillerato;2 o más;1
3;1;1;2;2;34.11;Medio;5 o más;Universitario;2 o más;1
3;1;2;1;1;29.24;Bajo;5 o más;Bachillerato;2 o más;1
5;5;1;1;2;33.94;Bajo;5 o más;Bachillerato;2 o más;1
3;4;2;1;2;31.93;Bajo;5 o más;Bachillerato;2 o más;1
5;4;4;1;2;25.36;Medio;5 o más;Universitario;2 o más;1
2;4;2;2;2;29.33;Bajo;5 o más;Universitario;2 o más;1
1;3;5;1;2;35.54;Medio;Menos de 5;Universitario;2 o más;1
4;3;4;2;2;27.36;Medio;Menos de 5;Bachillerato;1 o ninguno;1
1;3;2;3;2;34.43;Bajo;5 o más;Bachillerato;2 o más;1
5;2;5;1;1;26.51;Medio;5 o más;Bachillerato;2 o más;1
4;2;2;1;1;26.53;Medio;5 o más;Bachillerato;2 o más;1
4;5;2;2;2;22.44;Alto;5 o más;Bachillerato;1 o ninguno;1
5;4;4;2;1;29.61;Medio;Menos de 5;Bachillerato;1 o ninguno;1
2;2;1;1;1;21.97;Medio;5 o más;Bachillerato;2 o más;1
4;3;5;3;2;22.84;Medio;5 o más;Universitario;2 o más;1
2;1;3;1;2;39.01;Medio;5 o más;Bachillerato;2 o más;1
2;2;4;2;2;31.82;Medio;5 o más;Universitario;2 o más;1
5;5;4;3;2;30.65;Bajo;5 o más;Universitario;2 o más;1
4;1;4;3;2;34.38;Medio;5 o más;Bachillerato;2 o más;1
2;2;2;2;2;29.67;Bajo;5 o más;Universitario;2 o más;1
3;3;4;1;1;25.66;Medio;5 o más;Universitario;2 o más;1
3;1;1;3;1;21.38;Bajo;5 o más;Bachillerato;1 o ninguno;1
2;1;4;2;2;45.74;Bajo;Menos de 5;Bachillerato;1 o ninguno;1
4;4;3;3;1;37.55;Bajo;5 o más;Universitario;2 o más;1
1;5;4;1;2;31.05;Bajo;5 o más;Universitario;2 o más;1
5;5;3;2;2;30.16;Medio;5 o más;Universitario;2 o más;1
5;2;3;3;1;56.68;Bajo;5 o más;Universitario;2 o más;1
2;3;1;1;2;40.5;Medio;5 o más;Universitario;2 o más;1
3;5;5;2;1;51.63;Medio;Menos de 5;Bachillerato;1 o ninguno;1
2;5;3;1;1;25.44;Bajo;5 o más;Bachillerato;2 o más;1
2;1;2;3;2;32.93;Bajo;5 o más;Bachillerato;2 o más;1
3;2;2;3;2;37.31;Alto;5 o más;Bachillerato;2 o más;1
5;4;1;2;1;24.05;Bajo;5 o más;Universitario;2 o más;1
1;4;2;1;1;23.63;Medio;5 o más;Universitario;2 o más;1
3;5;3;3;1;27.18;Medio;5 o más;Universitario;2 o más;1
5;2;1;3;2;32.04;Alto;Menos de 5;Bachillerato;1 o ninguno;1
5;1;2;3;1;22.9;Bajo;5 o más;Universitario;2 o más;1
1;5;4;2;1;25.02;Medio;5 o más;Bachillerato;2 o más;1
5;5;3;3;1;31.92;Medio;5 o más;Bachillerato;2 o más;1
